tiles,non freezing tiles,stones,search space size
20,14,3,6188
16,9,3,1092
26,10,3,2760
23,13,4,13585
20,11,3,2805
23,11,4,6270
28,20,4,116280
64,36,4,3534300
43,25,4,493350
26,11,5,9702
40,23,3,65527
24,14,4,20020
21,11,4,5610
27,14,4,23023
25,13,4,15015
30,18,4,79560
28,15,4,32760
29,21,6,1248072
30,16,8,283140
36,19,6,813960
31,19,3,27132
56,29,3,193662
65,37,8,2200657140
61,33,8,735860268
38,18,6,594048
44,24,3,82984
47,30,4,1178415
32,16,6,208208
40,26,8,49992800
32,23,6,2624622
50,30,5,6412770
65,32,4,2193560
74,42,6,356713448
23,10,5,4536
26,14,6,60060
61,29,8,227483685
24,18,4,61200
28,20,5,356592
38,20,5,511632
62,35,4,3036880
40,22,4,263340
41,27,6,10360350
37,25,8,31365675
38,28,12,790965630
51,22,4,343805
84,36,12,90120794400
85,63,12,194794984575009
25,13,4,15015
22,12,4,8910
23,12,4,9405
29,17,4,59500
33,20,5,434112
35,21,6,1573656
56,37,5,22230747
63,33,12,18095683320
45,33,12,11708971560
89,61,20,430328622559398144
149,101,40,2480857241166280519172130603008
95,58,13,258757688106960
29,11,3,4290
21,8,3,1008
18,9,3,1260
19,9,3,1344
34,16,3,17360
21,11,3,2970
27,12,3,5280
21,8,3,1008
23,10,3,2400
20,9,3,1428
25,14,3,8008
19,9,4,1890
26,12,4,10890
29,10,3,3120
25,11,3,3630
21,10,3,2160
24,12,3,4620
25,12,3,4840
20,9,3,1428
20,10,3,2040
22,10,3,2280
19,9,3,1344
18,9,3,1260
29,11,3,4290
23,9,3,1680
24,10,3,2520
23,11,3,3300
33,11,3,4950
37,22,3,52360
20,10,3,2040
19,8,3,896
19,8,3,896
27,11,3,3960
20,10,3,2040
22,11,3,3135
21,12,3,3960
25,12,3,4840
19,9,3,1344
22,10,3,2280
18,11,3,2475
17,8,3,784
